first_date,country,installs,retained_d1,retained_d7,retention_d1,retention_d7,retention_d1_percent,retention_d7_percent
2021-11-18,NI,104,44,11,0.4230769230769231,0.10576923076923077,42.31,10.58
2021-11-18,NL,77,27,8,0.35064935064935066,0.1038961038961039,35.06,10.39
2021-11-18,NO,18,4,1,0.2222222222222222,0.05555555555555555,22.22,5.56
2021-11-18,NP,140,41,9,0.29285714285714287,0.06428571428571428,29.29,6.43
2021-11-18,NZ,89,27,13,0.30337078651685395,0.14606741573033707,30.34,14.61
2021-11-18,OM,23,8,2,0.34782608695652173,0.08695652173913043,34.78,8.7
2021-11-18,PA,140,58,15,0.4142857142857143,0.10714285714285714,41.43,10.71
2021-11-18,PE,1154,445,117,0.3856152512998267,0.10138648180242635,38.56,10.14
2021-11-18,PF,9,2,0,0.2222222222222222,0.0,22.22,0.0
2021-11-18,PG,12,3,0,0.25,0.0,25.0,0.0
2021-11-18,PH,1465,476,105,0.3249146757679181,0.07167235494880546,32.49,7.17
2021-11-18,PK,38,16,3,0.42105263157894735,0.07894736842105263,42.11,7.89
2021-11-18,PL,524,205,55,0.39122137404580154,0.1049618320610687,39.12,10.5
2021-11-18,PR,60,25,9,0.4166666666666667,0.15,41.67,15.0
2021-11-18,PS,210,77,17,0.36666666666666664,0.08095238095238096,36.67,8.1
2021-11-18,PT,222,80,11,0.36036036036036034,0.04954954954954955,36.04,4.95
2021-11-18,PY,73,31,9,0.4246575342465753,0.1232876712328767,42.47,12.33
2021-11-18,QA,32,16,6,0.5,0.1875,50.0,18.75
2021-11-18,RE,24,5,2,0.20833333333333334,0.08333333333333333,20.83,8.33
2021-11-18,RO,524,192,34,0.366412213740458,0.0648854961832061,36.64,6.49
2021-11-18,RS,96,31,13,0.3229166666666667,0.13541666666666666,32.29,13.54
2021-11-18,RU,2747,983,201,0.3578449217327994,0.07317073170731707,35.78,7.32
